Game,Publisher,Operating Office,Office Location (PH if available),Est. Revenue per month USD,Est. % of PH Users per month,Est. PH Revenue per month USD,Data Source,Platform,Top-Up Stores,Revenue Sources
Last War: Survival,FUNFLY PTE. LTD.,"3 Fraser Street, #05-25 DUO Tower, Singapore 189352",Singapore,"$42,000,000.00",4.00%,"$1,680,000.00",AppFigures,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming)","In-App Purchases, Ads"
Mobile Legends: Bang Bang,MOONTON,"23/F The Curve Building, 32nd Street,Bonifacio Global City, Taguig City,Metro Manila, Philippines 1634",Philippines,"$7,000,000.00",23.00%,"$1,610,000.00",AppFigures,iOS,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, MidasBuy, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store, Smile.One","Subscriptions, In-App Purchases"
Candy Crush Saga,King,"Level 3 Valletta Buildings, Triq Nofs in-Nhar, Valletta, VLT 1103",Malta,"$30,800,000.00",4.00%,"$1,232,000.00",AppFigures,Android,"Internal/In-Game, SEAGM","In-App Purchases, Ads"
Mobile Legends: Bang Bang,MOONTON,"23/F The Curve Building, 32nd Street,Bonifacio Global City, Taguig City,Metro Manila, Philippines 1634",Philippines,"$7,000,000.00",16.00%,"$1,120,000.00",AppFigures,Android,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, MidasBuy, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store, Smile.One","Subscriptions, In-App Purchases"
Last Z: Survival Shooters,Omnilojo Pte Ltd,"1 Temasek Avenue, #12-01 Millenia Tower, Singapore 039192",Singapore,"$21,000,000.00",4.00%,"$840,000.00",AppFigures,iOS,"Internal/In-Game, SEAGM","In-App Purchases, Ads"
Clash of Clans,Supercell,"Jätkäsaarenlaituri 1, 00180 Helsinki",Finland,"$7,000,000.00",11.00%,"$770,000.00",AppFigures,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming)",In-App Purchases
Clash of Clans,Supercell,"Jätkäsaarenlaituri 1, 00180 Helsinki",Finland,"$12,000,000.00",6.00%,"$720,000.00",AppFigures,iOS,"Internal/In-Game, SEAGM, Joytify (LapakGaming)",In-App Purchases
Last War: Survival,FUNFLY PTE. LTD.,"3 Fraser Street, #05-25 DUO Tower, Singapore 189352",Singapore,"$68,000,000.00",1.00%,"$680,000.00",AppFigures,iOS,"Internal/In-Game, SEAGM, Joytify (LapakGaming)","In-App Purchases, Ads"
Royal Match,Dream Games,"Esentepe Mah. Büyükdere Cad. Maya Akar Center (B Blok) No: 102/106 Şişli, Istanbul",Turkey,"$67,000,000.00",1.00%,"$670,000.00",AppFigures,iOS,"Internal/In-Game, SEAGM","In-App Purchases, Ads"
Call of Duty: Mobile - Garena,Garena Mobile Private,"8/F World Plaza, 5th Ave, Bonifacio Global City, Taguig, Metro Manila (Local Office)",Philippines,"$770,000.00",73.00%,"$562,100.00",AppFigures,Android,"UniPin, Codashop, JollyMax, SEAGM, Creamstore.ph, VeeWise Sari-Sari Store",In-App Purchases
