Game,Publisher,Operating Office,Office Location (PH if available),Est. Revenue per month USD,Est. % of PH Users per month,Est. PH Revenue per month USD,Data Source,Platform,Top-Up Stores,Revenue Sources
Mobile Legends: Bang Bang,MOONTON,"23/F The Curve Building, 32nd Street,Bonifacio Global City, Taguig City,Metro Manila, Philippines 1634",Philippines,"$8,000,000.00",23.00%,"$1,840,000.00",SensorTower,Android,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, MidasBuy, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store, Smile.One","Subscriptions, In-App Purchases"
Mobile Legends: Bang Bang,MOONTON,"23/F The Curve Building, 32nd Street,Bonifacio Global City, Taguig City,Metro Manila, Philippines 1634",Philippines,"$7,000,000.00",23.00%,"$1,610,000.00",SensorTower,iOS,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, MidasBuy, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store, Smile.One","Subscriptions, In-App Purchases"
Clash of Clans,Supercell,"Jätkäsaarenlaituri 1, 00180 Helsinki",Finland,"$13,000,000.00",6.00%,"$780,000.00",SensorTower,iOS,"Internal/In-Game, SEAGM, Joytify (LapakGaming)",In-App Purchases
Call of Duty: Mobile - Garena,Garena Mobile Private,"8/F World Plaza, 5th Ave, Bonifacio Global City, Taguig, Metro Manila (Local Office)",Philippines,"$900,000.00",73.00%,"$657,000.00",SensorTower,Android,"UniPin, Codashop, JollyMax, SEAGM, Creamstore.ph, VeeWise Sari-Sari Store",In-App Purchases
Wuthering Waves,"KURO GAMES (Guangzhou Kuro Network Technology Co., Ltd.)","Room 401, No. 4, Poly World Trade Center, No. 1000 Xingang East Road, Haizhu District, Guangzhou",China,"$4,000,000.00",16.00%,"$640,000.00",SensorTower,Android,"Internal/In-Game, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Call of Duty: Mobile - Garena,Garena Mobile Private,"8/F World Plaza, 5th Ave, Bonifacio Global City, Taguig, Metro Manila (Local Office)",Philippines,"$1,000,000.00",62.00%,"$620,000.00",SensorTower,iOS,"UniPin, Codashop, JollyMax, SEAGM, Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Free Fire: Undersea Legends,GARENA INTERNATIONAL I,"Garena Philippines Inc., 8th Floor, 5th Ave Street, Taguig, 1634 Metro Manila",Philippines,"$18,000,000.00",3.00%,"$540,000.00",SensorTower,Android,"Codashop, SEAGM, Internal/In-Game, Joytify (LapakGaming), VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
PUBG MOBILE,Tencent Mobile International Limited,"26/F, Tower One, BGC Corporate Center, 11th Ave, Bonifacio Global City, Taguig, Metro Manila (Local Representative Office)",Philippines,"$27,000,000.00",2.00%,"$540,000.00",SensorTower,iOS,"Internal/In-Game, UniPin, Razer Gold, Codashop, MidasBuy, Joytify (LapakGaming), Creamstore.ph, Smile.One","Subscriptions, In-App Purchases"
Brawl Stars,Supercell,"Jätkäsaarenlaituri 1, 00180 Helsinki",Finland,"$28,000,000.00",1.00%,"$280,000.00",SensorTower,iOS,"Internal/In-Game, SEAGM",In-App Purchases
Blood Strike - FPS for all,NetEase Games,"No. 95 Wanghai Road, Block 4, Wanghai Building, Xiamen, Fujian",China,"$2,000,000.00",12.00%,"$240,000.00",SensorTower,Android,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store","Subscriptions, In-App Purchases"
Castle Busters,Voodoo,"100 Rue de Réaumur, 75002 Paris",France,"$2,000,000.00",12.00%,"$240,000.00",SensorTower,Android,Internal/In-Game,"In-App Purchases, Ads"
PUBG MOBILE,Tencent Mobile International Limited,"26/F, Tower One, BGC Corporate Center, 11th Ave, Bonifacio Global City, Taguig, Metro Manila (Local Representative Office)",Philippines,"$12,000,000.00",2.00%,"$240,000.00",SensorTower,Android,"Internal/In-Game, UniPin, Razer Gold, Codashop, MidasBuy, Joytify (LapakGaming), Creamstore.ph, Smile.One","Subscriptions, In-App Purchases"
Honor of Kings,Level Infinite,"10 Anson Road, #21-07 International Plaza, Singapore 079903",Singapore,"$1,000,000.00",17.00%,"$170,000.00",SensorTower,iOS,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, MidasBuy, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store, Smile.One","Subscriptions, In-App Purchases"
Brawl Stars,Supercell,"Jätkäsaarenlaituri 1, 00180 Helsinki",Finland,"$15,000,000.00",1.00%,"$150,000.00",SensorTower,Android,"Internal/In-Game, SEAGM",In-App Purchases
Honor of Kings,Level Infinite,"10 Anson Road, #21-07 International Plaza, Singapore 079903",Singapore,"$1,000,000.00",14.00%,"$140,000.00",SensorTower,Android,"Internal/In-Game, UniPin, Razer Gold, Codashop, JollyMax, SEAGM, MidasBuy, Joytify (LapakGaming), Creamstore.ph, VeeWise Sari-Sari Store, Smile.One","Subscriptions, In-App Purchases"
Clash Royale,Supercell,"Jätkäsaarenlaituri 1, 00180 Helsinki",Finland,"$13,000,000.00",1.00%,"$130,000.00",SensorTower,iOS,"Internal/In-Game, SEAGM",In-App Purchases
